Rank,Country,US$,#,"Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,2021,Estimates Start After,FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
1,Luxembourg,"131,782",100.0,"63,650",.,768,.,"58,874","4,008",30,"100,417","1,212","2,490,226","3,928,675","633,859",2021-04-15,153420.0,110434.0,42986.0,2021/04/15,442.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",71.113,73.205,84.077,2020.0,.,.,.,2021-04-17 04:20:40,49.8153,6.1296,64746,785,60627.0,3334.0,Luxembourg,10343.208046314874,1.2124301115126803
2,Switzerland,"94,696",36.0,"617,543",.,"10,453",.,"557,566","49,524",189,"70,951","1,201","6,339,396","728,350","8,703,776",2021-04-14,1958210.0,1228368.0,729842.0,2021/04/14,756.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",732.187,747.427,824.734,2019.0,.,.,.,2021-04-17 04:20:40,46.8182,8.2275,632399,10505,317600.0,304294.0,Switzerland,7307.070052080865,1.6611348215288133
3,Ireland,"94,556",61.0,"240,945",.,"4,785",.,"23,364","212,796",53,"48,377",961,"4,168,990","837,053","4,980,557",2021-04-14,1121003.0,789526.0,331477.0,2021/04/14,372.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",398.379,418.716,476.663,2019.0,.,.,.,2021-04-17 04:20:40,53.1424,-7.6921,242819,4831,23364.0,214624.0,Ireland,4917.558360045656,1.9895477701497823
4,Norway,"81,995",88.0,"103,621",.,684,.,"88,952","13,985",57,"18,999",125,"4,824,081","884,478","5,454,156",2021-04-15,1325060.0,1025429.0,299631.0,2021/04/15,578.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",405.51,362.009,444.519,2018.0,.,.,.,2021-04-17 04:20:40,60.472,8.4689,106727,708,17998.0,88021.0,Norway,1968.6817153707584,0.6633747786408313
6,Denmark,"67,218",62.0,"237,792",.,"2,441",.,"226,630","8,721",38,"40,942",420,"29,118,371","5,013,438","5,808,065",2021-04-15,1510679.0,1022477.0,488202.0,2021/04/15,208.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",350.104,352.243,392.57,2019.0,.,.,Faroe Islands,2021-04-17 04:20:40,61.8926,-6.9118,662,1,660.0,1.0,"Faroe Islands, Denmark",1354.752890617006,0.1510574018126888
6,Denmark,"67,218",62.0,"237,792",.,"2,441",.,"226,630","8,721",38,"40,942",420,"29,118,371","5,013,438","5,808,065",2021-04-15,1510679.0,1022477.0,488202.0,2021/04/15,208.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",350.104,352.243,392.57,2019.0,.,.,Greenland,2021-04-17 04:20:40,71.7069,-42.6043,31,0,31.0,0.0,"Greenland, Denmark",54.6043824420489,0.0
6,Denmark,"67,218",62.0,"237,792",.,"2,441",.,"226,630","8,721",38,"40,942",420,"29,118,371","5,013,438","5,808,065",2021-04-15,1510679.0,1022477.0,488202.0,2021/04/15,208.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",350.104,352.243,392.57,2019.0,.,.,.,2021-04-17 04:20:40,56.2639,9.5018,241007,2452,230084.0,8471.0,Denmark,4160.886626383778,1.017397834917658
7,Iceland,"65,273",158.0,"6,258",.,29,.,"6,126",103,.,"18,247",85,"558,666","1,628,940","342,963",2021-04-16,98672.0,70058.0,28614.0,2021/04/16,352.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.837,21.715,24.155,2018.0,.,.,.,2021-04-17 04:20:40,64.9631,-19.0208,6286,29,6184.0,73.0,Iceland,1842.051282051282,0.4613426662424435
8,Singapore,"64,103",102.0,"60,653",.,30,.,"60,335",288,1,"10,305",5,"8,789,647","1,493,297","5,886,067",2021-04-06,1667522.0,1131658.0,535864.0,2021/04/06,702.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",374.39,339.981,374.394,2019.0,.,.,.,2021-04-17 04:20:40,1.2833,103.8333,60769,30,60446.0,293.0,Singapore,1038.7254217402296,0.049367276078263585
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,Australian Capital Territory,2021-04-17 04:20:40,-35.4735,149.0124,123,3,120.0,0.0,"Australian Capital Territory, Australia",28.73160476524177,2.4390243902439024
